question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,user_ans
Chromosomes are formed during which phase of cell cycle,"Though the DNA is synthesized during the S phase of cell cycle, but the condensation of chromatin fibers into Chromosomes happens during metaphase of Mitosis phase (M) of cell cycle. Hence, if question ask about which phase of cell cycle for DNA synthesis, the answer is S phase. If asked about the chromosome formation, answer is M phase.",4,G1,S,G2,M,Biochemistry,Replication,34fdb126-ff05-4c08-8997-ff509ead8220,single,4
Hype ram monaemia inhib it TCA cycle by depleting: (PGI June 2009),"Ans: B (a-ketoglutarate) ; Harper 29th/168""HyperammonaemiaQ reduce mitochondrial pool ofa-ketoglu tarate & consequently depresses the TCA cycle, affecting the cellular respiration""- Chatterjea & Shinde 7th/447Hyperammonoemia| NH3 concentration enhance amination of a-KGQ, an intermediate in TCA cycle to form glutamate in brain. This reduce a-KG pool in mitochondria.|NH3 concentration enhance ""glutamine formation from glutamate & thus reduces 'brain-cell' pool of glutamic acid. Hence there is |ed formation of inhibitory neurotransmitter ""GABA"" (g-amino butyric acid)Rise in brain glutamine cause increase in tryptophan concentration in brain cells, which leads to abnormal increase in synthesis of ""serotonin"" a neurotransmitter.Cause mental retardation5'Acquired hyperammonoemia may be due to hepatitis &alcohlasmToxic effects of NH. on the brain are d/t impairment of ATP formationAlso know: Metabolic fate of NH3 in body:Majority of NH3 is converted to urea (urea cycle) Q Formation of glutamine Amination of a-keto add to form a-amino acid",2,Oxaloacetate,a-ketoglutarate,Citrate,Succinyl Co-A,Biochemistry,Kerbs Cycle,3c7863d8-2e37-4700-ac1a-c794b034b4e7,single,2
Function of DNA ligase -,"Ans. is 'c' i.e., To seal and nick okazaki fragments ProteinFunctionDNA polymerasesDeoxynucleotide polymerizationHelicasesProcessive unwinding of DNATopoisomerasesRelieve torsional strain that results from helicase-induced unwindingDNA primaseInitiates synthesis of RNA primersSingle-strand binding proteinsPrevent premature reannealling of dsDNADNA ligaseSeals the single strand nick between the nascent chain and Okazaki fragments on lagging strand",3,Cutting of DNA at specific site,Preventing negative supercoil,To seal and nick okazaki fragments,DNA polymerization,Biochemistry,DNA Replication ,33450f3c-b957-4606-80b5-e8d5b055f87d,single,3
Increased formation of ketone bodies during fasting is a result of:,Free fatty acids bound to albumin are increased as a result of an increased activity of Hormone sensitive lipase in adipose tissue as this enzyme breaks TG into glycerol & fatty acids. These fatty acids are taken up by liver. b-oxidation of these fatty acids in liver provides the acetyl CoA for ketogenesis. Hepatic ketogenesis is also stimulated by elevated levels of glucagon during fasting.,3,Decreased level of circulating glucagon,Decreased formation of Acetyl CoA in the liver,Increased levels of free fatty acids in blood,Inhibition of b-oxidation of fatty acids in liver,Biochemistry,"Fuel in Fed, Fasting and Starvation",a8979ec8-15d5-4292-a732-e91fafa78fae,single,3
Used in Transamination:,"Transamination (first step in the catabolism of amino acids) is catalysed by transaminases. These enzymes use pyridoxal phosphate which is active form of pyridoxine (vitamin B6) as coenzyme. Biochemical Roles of Pyridoxine Trans-sulfuration Simple decarboxylation (mainly histidine, gluatamate, tryptophan) ALA synthase (Haem synthesis) Cystathionine synthase (synthesis of Cysteine) Alkaline phosphatase Glycogen phosphorylase (RLE in glycogen breakdown) Tryptophan metabolism, synthesis of Niacin (vitamin B3)",1,Pyridoxal phosphate,NADPH,NADP,FAD,Biochemistry,Urea cycle,65982d33-554e-491f-9dd4-0ed4d8220700,single,1
Which of the following test is done to detect the presence of urobilinogen?,"Ehrlich's aldehyde test: Ehlich's aldehyde reagent consists of para dimethyl amino benzaldehyde in acid solution. Equal volumes of urine and Ehrlich's reagent are mixed. Formation of pink colour indicates the presence of urobilinogen. Other Options:- Test Detects Guthrie test Screening of phenylketonuria Fouchet's test bile pigments (Bilirubin) in urine Alcian blue spot test mucopolysaccharides in urine Additional information: Watson-Schwaz testis a qualitative screening test for the detection and differentiation of urobilinogen and porphobilinogen. Step 1: Urine + Ehrlich reagent + Sodium acetate - Pink or red colour - Positive test - Urobilinogen or Porphobilinogen present. Step 2:Above test solution + Chloroform Step 3:Pink/Red layer + Butanol Note:If the pink color develops in the first step, then continue fuher. In the second step, if the colour develops in the aqueous layer, then proceed with the addition of butanol.",3,Guthrie test,Fouchet's test,Ehrlich's test,Alcian blue spot test,Biochemistry,HAEM synth and porphyrias,e2de38f2-304f-4344-a914-5729fbefcf09,single,3
Epidermolysis bullosa is due to defect in collagen type?,"Ans. D. Type 7Diseases Caused by Mutations in Collagen Genes or by Deficiencies in the Activities of Posttranslational Enzymes Involved in the Biosynthesis of CollagenGene or EnzymeDisease 1COL1A1, COL1A2Osteogenesis imperfecta, type 12 (OMIM 166200)Osteoporosis 3 (OMIM 166710)Ehlers-Danlos syndrome type VII autosomal dominant (OMIM 130060)COL2A1Severe chondrodysplasias Osteoarthritis 3 (OMIM 165720)COL3A1Ehlers-Danlos syndrome type IV (OMIM 130050)COL4A3-COL4A6Alport syndrome (including both autosomal and X-linked forms) (OMIM 104200)COL7A1Epidermolysis bullosa, dystrophic (OMIM 131750)COL10A1Schmid metaphysial chondrodysplasia (OMIM 156500)Lysyl hydroxylaseEhlers-Danlos syndrome type VI (OMIM 225400)Procollagen N-proteinaseEhlers-Danlos syndrome type VII autosomal recessive (OMIM 225410)Lysyl hydroxylaseMenkes disease 4 (OMIM 309400)",4,Type 1,Type 3,Type 4,Type 7,Biochemistry,Membrane Structure & Function,b6346f50-600c-47b0-800b-4af60c7d0250,single,2
Snow flake cataract is produced because of :,"In Diabetics, Excess Glucose freely enters the cells of eye which are highly permeable to glucose. Here glucose is reduced by Aldose Reductase enzyme to produce Sorbitol/ Polyol. Sorbitol is hygroscopic in nature and absorbs water. Swelling due to excess sorbitol in the lens will ultimate leads to Snowflake cataract.",1,Aldose reductase,Galactose reductase,Fructose dehydrogenase,Alcohol dehydrogenase,Biochemistry,Galactose and fructose metabolism,42fdf4c5-99d3-4f76-9c93-18ed3ad25013,single,1
"A breast-fed infant began to vomit frequently and lost weight. Several days later infant developed jaundice, hepatomegaly. bilateral cataract. What is possible cause for these symptoms?","The cataract shown is Oil Drop Cataract, which is characteristic of Galactosemia. These clinical manifestations of liver affected when milk is the diet, are typical of Classical Galactosemia. Bilateral cataract rules out the possibility of Von Gierke's disease and Hereditary Fructose Intolerance although other symptoms are there in both these diseases. In Juvenile Diabetes Mellitus, jaundice and hepatomegaly is observed but cataract is never there.",1,Galactosemia,Juvenile Diabetes Mellitus,Hereditary Fructose Intolerance,Gaucher Disease,Biochemistry,Galactose and fructose metabolism,db79f001-b730-4e97-b7b5-53b979e0c83a,single,1
Which of the following is seen in association with membrane raft?,"Ans. c. GPI anchored protein (Ref: Lehninger 5/e p384-386)Stable associations of sphingolipids and cholesterol in the outer leaflet produce a microdomain (rafts) slightly thicker than the other membrane regions that is enriched with specific type of membrane proteins.GPI-Iinked proteins are common in the outer leaflet of these rafts.GPI-Iinked proteins are common in the outer leaflet of these raftsQ.Membrane Microdomain (Rafts)Stable associations of sphingolipids and cholesterol in the outer leaflet produce a microdomain (rafts) slightly thicker than the other membrane regions that is enriched with specific type of membrane proteins.GPl-linked proteins are common in the outer leaflet of these raftsQ.Proteins with one or several covalently attached long-chain acyl groups are seen commonly in the inner leaflet.Caveolin is especially common in inwardly curved rafts called caveolae.Caveolin binds cholesterol in the membrane, and the presence of caveolin forces the associated lipid bilayer to curve inward, forming caveolae (little caves) in the surface of the cell.Caveolae are unusual rafts: they involve both leaflets of the bilayer-the cytoplasmic leaflet, from which the caveolin globular domain project, and the extracellular leaflet, a typical sphingolipid/cholesterol raft with GPI-anchored proteinsQ.Caveolae are implicated in a variety of cellular functions:Membrane trafficking within cellsTransduction of external signals into cellular responses",3,Mannose binding protein,GTP associated receptor,GPI anchored protein,G-coupled receptor,Biochemistry,Membrane Structure & Function,880ef7a1-c760-476c-b0d6-453a2acc9fb2,single,3
Familial fructokinase deficiency causes no symptoms because:,"Fructose metabolism Fructokinase is the first enzyme for fructose metabolism. It conves fructose to fructose-1-P. In Fructokinase deficiency, Hexokinase (a non specific enzyme) can phosphorylate fructose as well as other sugars but it has high km (low affinity) for fructose. Glucose is the true substrate for this enzyme. Fructose 6-phosphate - the end product of Hexokinase reaction can enter glycolytic pathway to be utilized fuher, so it does not accumulate to produce toxic effects. EXTRA EDGE- Fructokinase deficiency causes Essential Fructosuria, while Aldolase B deficiency causes Hereditary Fructose Intolerance",1,Hexokinase can phosphorylate fructose,Liver aldolase can metabolize it,Excess fructose does not escape into the urine,Excess fructose is excreted through feces,Biochemistry,Galactose and fructose metabolism,f429570d-55ac-4ce3-bd17-3147dbc6231f,single,1
Which of the following is increased in LCAT deficiency?,"LCAT(Lecithin Cholesterol Acyl Transferase,) Conves HDL cholesterol to HDL cholesterol ester by adding one fatty acid in cholesterol. LCAT deficiency Proper HDL is not formed Spherical HDL | Nascent or discoidal HDL | Free cholesterol | ( not getting incorporated in HDL) RBCs have increased cholesterol content and thus hemolysis occurs Disease Norum's disease Fish eye disease LCAT Complete deficiency Paial deficiency Hemolytic Anemia Severe Absent End stage renal disease Present Absent",1,HDL,LDL,VLDL,Chylomicron,Biochemistry,NEET 2019,ac3b955f-484b-4823-9ccc-7f7d5e3043a4,single,1
Which of the following is the cofactor for Prokaryotic DNA ligase?,"DNA ligase : Enzyme that catalyse the formation of phosphodiester bond. During replication, the nick is sealed by DNA ligases. Use : In recombinant DNA technology as molecular glues. Cofactors : In Prokaryotes - NAD In Eukaryotes - ATP",3,Tetrahydrobiopterin,ATP,NAD,FAD,Biochemistry,Replication,faac5ddd-be09-41fd-9982-7dc65b3a8c4c,single,3
Which of the following types of collagen is present in basement membrane?,"Ans. c. Type IV (Ref: Robbins 9/e p20-23. 8/e p95)Type IV collagens are the main components of the basement membrane, together with laminin.""The basement membrane is synthesized by contributions from the overlying epithelium and underlying mesenchymal cells, forming a fiat lamellar ""chicken wire "" mesh (although labeled as a membrane, it is quite porous). The major constituents are amorphous nonfibrillar type IV collagen and laminin. ""--Robbins 9/e p21.Type IV collagens have long but interrupted triple-helical domains and form sheets instead of fibrils; they are the main components of the basement membrane, together with laminin.""--Robbins 9/e p23 Main Types of Collagens, Tissue Distribution, and Genetic DisordersCollagen TypeTissue DistributionGenetic DisordersFibrillar CollagensIUbiquitous in hard & soft tissues (Bone, cornea & myofibrilsQ)Osteogenesis imperfecta; Ehlers-Danlossyndrome-arthrochalasias type IIICartilage, intervertebral discQ, vitreousQAchondrogenesis type It, spondyloepiphysea dysplasia syndromeIIIHollow organs, soft tissues, granulation tissueQVascular Ehlers-Danlos syndromeVSoft tissues, blood vesselsQClassical Ehlers-Danlos syndromeIXCartilage, vitreousQStickler syndromeBasement Membrane CollagensIVBasement membranes, eye lensQAlport syndromeOther CollagensVIUbiquitous in microfibrilsBethlem myopathyVIIAnchoring fibrils at dermal-epidermal junctionsQDystrophic epidermolysis bullosaIXCartilage, intervertebral discsQMultiple epiphyseal dysplasiasXVIITransmembrane collagen in epidermal cellsQBenign atrophic generalized epidermolysis bullosaXV & XVIIIEndostatin-forming collagens, endothelial cellsQKnobloch syndrome (type XVIII collagen)",3,Type I,Type III,Type IV,Type V,Biochemistry,Membrane Structure & Function,5db07ba7-f600-4b06-9f7d-f74409e52f6c,single,3
"In Zellweger syndrome, which of the following is absent?","Zellweger syndrome is a rare disease characterized by the absence of functional peroxisomes. the long chain fatty acids (C26-C36) are not oxidized. They accumulate in tissues, paicularly in brain, liver and kidney. Hence the disorder is also known as cerebrohepatorenal syndrome. This condition is apparent at bih and is characterized by profound neurologic impairment, victims often dying within a year. Two closely related conditions are neonatal adrenoleukodystrophy and infantile Refsum disease. Zellweger syndrome and these two conditions represent a spectrum of overlapping features, with Zellweger syndrome being the most severe (many proteins affected) and infantile Refsum disease the least severe",4,ER,Golgi apparatus,Mitochondria,Peroxisomes,Biochemistry,NEET 2019,6208b505-3eea-48a0-94f8-d02adb8b2f73,single,4
Topoisomers are DNA form that differ in,"Topoisomers are DNA form that differ in linking number Linking number Number of times one strand of DNA has to be passed through the other strand to separate both the strands completely. Its an integer for a closed circular DNA. Topoisomers are DNA forms that differ in their linking number. Topoisomerases are the enzymes which can change the linking number of DNA. Histones H2A, H2B, H3 and H4 are known as the core histones, while histones H1/H5 are known as the linker histones",4,GC content,Melting temperature,Coding region,Linking number,Biochemistry,Replication,af805a1c-7599-44f4-922d-3ea99157c40c,single,4
Urea cycle linked to kreb's cycle by?,ANSWER: (A) FumarateREF: Harper's illustrated biochemistry 27th ed p. 246-49Arginosuccinate is converted to arginine at this step fumarate is released. At this step urea cycle cycle is linked with TCA cycle.,1,Fumarate,Oxaloacetate,Ornithine,Citrullin,Biochemistry,Urea Cycle and Disorders,dbf16e4a-2d1b-44d2-a013-cd966c3092a2,single,1
Which of the following phospholipid has antigenic acitivity -,"Ans. is 'b' i.e., Cardiolipin ""Cardiolipin is the only human glycerophospholipid that possess antigenic properties ""o Cardiolipin is the major lipid of inner mitochondrial membrane.",2,Plasma!ogen,Cardiolipin,Phosphatidylcholine,Sphingomyelin,Biochemistry,"Phospholipids, Glycolipids and their disorders",92751b1a-61bb-48ea-b0f3-0f09cc356909,single,2
Blood Urea Nitrogen is decreased in:,"Blood Urea Nitrogen is decreased in urea cycle defects,where Hyper-ammonemia occurs C/f of urea cycle defects:- Increased blood glutamine Decreased BUN (Blood Urea Nitrogen) Cerebral oedema Vomiting Lethargy Blurred vision Slurred speech & hyperventilation. Note:-Severe ammonia toxicity can lead to coma and eventually death.",2,Hypo-ammonemia,Hyper-ammonemia,Hyperventilation,Hypoventilation,Biochemistry,Urea cycle,2314b1b4-bade-447c-87b7-fb63293dd222,single,2
Most common enzyme deficient in urea cycle:,"Explaintion: Urea cycle defects result from a deficiency or total absence of the activity of any of the enzymes along the pathway, particularly carbamoyl phosphate synthetase I (CPSI), ornithine transcarbamylase (OTC), arginosuccinate synthase (ASS), arginosuccinate lyase (ASL), arginase (ARG) or a deficiency of the co-factor N-acetylglutamate (N-GAS). Ref: Harpers illustrated Biochemistry, 28th edition Explanation: Urea cycle disorders (See the table on the next page) Urea Cycle Disorders Disorder Inheritance Enzyme defect Clinical Manifestations Hyperammonemia I Inborn defect CPS I * Ammonia toxicity * Ataxa * Protein intolerance Hyperammonemia II X-linked deficiency OTC * Ammonia toxicity * Increases levels of glutamine, ornithine and ammonia in the blood Citrullinemia Double recessive Argininosuccinate synthase * Increased levels of citrutlhe in the blood * Hyperammonemia * Mental retardation Argininosuccinic aciduria Double recessive Arginino succinate lyase * High ievels of argini no succinate in blood, urine andCSF * Mental retardation * Friable tufted hair Arginemia Arginase * Increased Arg levels in the blood, CSF and brain * Increased levels of amino acids transported by the COAL transporter",1,Ornithine transcarbamoylase,Arginase,Carbamoyl phosphate synthase I,Arginosuccinate synthase,Biochemistry,Urea Cycle and Disorders,2aa12353-4956-48f7-80eb-50a5f037ec57,single,1
DNA replication takes place in which phase of cell cycle -,"Ans. is 'd' i.e., S o DNA replication (synthesis of DNA) occurs in 'S' phase.Cell cycle consists of:G1 : Presynthetic phase,''intervalS : Synthetic phase (DNA synthesis)G2 : Post synthetic phase/premitotic phase/intervalM : Mitotic phase : Cells are produced which either directly reenter next cycle or pass into non proliferativeG0 phaseG0 : Quiescent stateo There are two resting phases and two active phases in the cycle,o Resting phases - G1 & G2o Active phasesS-phase (synthetic phase) - As the name suggests, synthesis of new DNA takes place, i.e. doubling of DNA occurs.M-phase (mitotic phase) - Mitosis takes place and the daughter cells recieve one copy of DNA. In this phase cell number is doubled.",4,M,G1,G2,S,Biochemistry,DNA Replication ,c6efcc71-1a69-4058-8b99-df91f53e503a,single,4
Most important enzyme in DNA replication for chain elongation -,"Ans. is 'c' i.e., DNA polymerase IIIImportant DNA PolymerasesIn Prokaryoteso DNA polymerase I:- Helps in gap filling and synthesis between okazaki fragments of lagging strand, and replaces ribonucleotides of RNA primer by deoxyribonucleotides. It has (i) 31 - 51 exonuclease activity, (ii) 51 - 31 exonuclease activity and (iii) polymerase (51 - 31 polymerase) activityo DNA polymerase II:- Helps in (i) proof reading (31 - 51 exonuclease activity), and (ii) DNA repairo DNA polymerase III:- It is the main enzyme that synthesizes prokaryote DNA, i.e., synthesis of leading and lagging strand. It has (i) 51 - 31 polymerase (or simply polymerase) activity for DNA synthesis, and (ii) 31 - 51 exonuclease activity for proof reading.In Eukaryoteso DNA polymerase a:- It has primase activity (i.e. synthesizes RNA primer), and initiates DNA synthesiso DNA polymerase b:- It is a DNA repair enzymeo DNA polymerase g:- Replicates mitochondrial DNAo DNA polymerase d:- Helps DNA synthesis on lagging strand, i.e. elongation of okazaki fragments on lagging strand. It also has 51-31 exonuclease activity for proof reading.o DNA polymerase e:- Helps in DNA synthesis on leading strand. It also has 51 - 31 exonuclease activity for proof reading.",3,Helicase,DNA polymerase I,DNA polymerase III,Topoisomerase III,Biochemistry,DNA Replication ,ce59d817-2f15-4106-a114-44071c53d45b,single,3
A buffer that is most effective at a pH of about 4.5 is;,"Ans. is 'a' i.e. Acetate BufferRef Guyton, 10/e, p349A buffer system is most effective when the pH of the system is near its pka valueLet's see the pka of the buffers given in the questionBufferPkaPhosphateBicarbonateAcetateTris 6.8 6.14.76 (Harper 25th/e p24) 8.3 (Harper 25th/ep23)* It's the acetate buffer which has its pka (4.76) value nearest to the pH of the system (4.5), hence it will be most effective at this pH.",1,Acetate buffer.,Bicarbonate buffer,Phosphate buffer,Tris buffer,Biochemistry,Mechanisms of Enzyme Action,14e7ae53-7781-4f02-b014-3d8bd1308d91,single,1
RNA dependent DNA polymerase is -,"Ans. is 'c' i.e., Reverse transcriptaseo Reverse transcriptase is an RNA dependent DNA polymerase that produces ds DNA from RNA template. It moves along the template in 3' -5' direction, synthesizing DNA is 5' - 3' direction, It is seen in retro viruses (e.g. HIV).",3,DNA polymerase,RNA polymerase,Reverse transcriptase,Phosphokinase,Biochemistry,DNA Replication ,e47d38fc-327a-454c-b2df-cbddfe0add3c,single,3
What is the approximate number of base pairs associated with a single nucleosome?,"Nucleosomes Fundamental unit of DNA organisation. It is Histones complexed to DNA. Two molecules of each of H2A, H2B, H3,and H4 (Core histones) forms a histone octamer. 1 and 3/4 turns (~146 bp) DNA double helix is wound around the histone octamer in a left-handed fashion.",1,146,292,73,1460,Biochemistry,Basics of DNA,c9570243-a1bf-4297-a671-38e2d6484956,single,1
"Which one of the following tissues can metabolize glucose, fatty acids, and ketone bodies for ATP production:","Muscles can use all i.e. glucose, fatty acids & ketone bodies. WITH REGARD TO OTHER OPTIONS: Liver (Option a) cannot use ketone bodies, because of deficiency of Thiophorase (first enzyme of ketone body utilization). Brain (Option c) cannot use F.A. because F.A. cannot cross BBB. RBCs (Option d) cannot use fatty acids & ketone bodies, because they lack mitochondria.",2,Liver,Muscle,Brain,Red blood cells,Biochemistry,"Fuel in Fed, Fasting and Starvation",d024b728-3d28-41f4-91e6-0e337673fc52,single,2
What is the enzyme involved in the following conversion:,"Monosaccharides get conveed to their respective alcohols on reduction. Glucose gets conveed to its alcohol i.e. Sorbitol. Galactose conveed to its alcohol i.e. galactitol. In both cases, a common enzyme is used i.e. Aldose Reductase.",3,Sorbitol dehydrogenase,Glucose reductase,Aldose reductase,Glucose oxidase,Biochemistry,Galactose and fructose metabolism,11749792-0e08-4a62-9142-325645f50407,single,3
Enzyme that is responsible for unwinding of DNA is?,"ANSWER: (C) HelicaseREF: Lippincott's biochemistry 3rd Ed page: 400PROTEINS INVOLVED IN REPLICATION:PROTEINFUNCTIONHelicaseCauses unwinding of DNA using ATPSSB (Single strand binding protein)Keeps two strands separate , prevents renneiling of twostrandsTopisomerase I and IIThey have both nuclease (strand cutting ) and ligase activity , hence they relieve torsional strain that results from helicase induced unwindingDNA primaseInitiates synthesis of RNA primerDNA polymeraseDeoxyribonucleotide polymerisationDNA ligase /nick sealing enzymeSeals the single stranded nick between nascent chains and okazaki fragments",3,Ligase,DNA primase,Helicase,DNA polymerase,Biochemistry,DNA Replication ,24484794-2dd9-4ae3-93c1-a08402ac2c45,single,3
Enzyme Transketolase requires -,"Ans. is 'b' i.e., TPPo Transketolase reactions require thiamine pyrophosphate (TPP).VitaminActive form (coenzymes)Reaction typeB1 (Thiamin)Thiamine pyrophosphate (TPP)Oxidative decarboxylation, TransketolationB2 (Riboflavin)FMN, FADOxidation / Reduction (Redox reaction)B3 (Niacin)NAD+, NADP+Oxidation / Reduction (Redox reaction)B6 (Pyridoxin)Pyridoxal phosphate (PLP)Transamination, deamination, decarboxylation, condensation, trans-sulfurationB12 (cobolamin)Methylcobalamin. deoxyadenosy Icoba lam inIsomerization of meihylmelonyl-CoA to succinyl-CoA, synthesis of methionine from homocysteineFolic acidTetrahydrofolate (THF)One carbon group transferBiotinBiocytinCarboxylationPantothenic acidPentothenate in Co A and ACPAcyl group transferVitamin KVitamin KCarboxylation of glutamic acid residue",2,FAD,TPP,PLP,FMN,Biochemistry,Mechanisms of Enzyme Action,c37d91ef-eebe-4b03-a59d-6703a972e9c6,single,2
Bilirubin binding capacity for high-affinity site of serum albumin is:,"1 gram of hemoglobin yields about 35 mg of bilirubin. Human adults form 250 to 350 mg of bilirubin per day. Bilirubin is non-polar. So, it needs a carrier in blood. Albumin plays the role of carrier. The high-affinity site can bind approximately 25 mg of bilirubin/100 mL of plasma. Loosely bound bilirubin can be easily displaced by drugs like phenobarbitone. This is why administration of phenobarbitone in premature infants can lead to kernicterus.",2,15 mg bilirubin/100 ml of plasma,25 mg bilirubin/100 ml of plasma,35 mg bilirubin/100 ml of plasma,45 mg bilirubin/100 ml of plasma,Biochemistry,HAEM synth and porphyrias,a1b7e97d-9859-41bf-bd39-ad3d6a97515a,single,2
Number of ATPs formed per cycle of TCA -,"Ans. is 'a' i.e., 10o Every turn of TCA cycle produces -i) 10 A TPs - If starting meterial is considered acetyl CoAii) 12 5 ATPs - It starting material is considered pyruvate.Energetics of TCA cycleso One turn of the TCA cycle, starting with acetyl CoA produces 10 ATPs. When the starting molecule is pyruvate, the oxidative decarboxylation of pyruvate, the oxidative decarboxylation of pyruvate yields 2.5 ATPs and therefore, 12.5 ATPs are produced when starting compound is pyruvate. Since, two molecules of pyruvate enter the TCA cycle when glucose is metabolized (glycolysis produces 2 molecules of pyruvate), the number of ATPs is doubled. Therefore, 25 ATP molecules, per glucose molecule, are produced when pyruvate enters the TCA cycleo Note: Previously calculations were made assuming that NADH produces 3 ATPs and FADH generates 2 ATPs. This will amount a net generation of 30 ATP molecules in TCA per molecule glucose and total 38 molecules from starting. Recent experiments show that these values are overestimates and NADH produces 2.5 ATPs and FADH produces 1.5 ATPs. Therefore, net generation during TCA is 25 ATPs and complete oxidation of glucose through glycolysis plus citric acid cycle yield a net 32 ATPs.o Energy yield (number of ATP generated) per molecule of glucose when it is completely oxidized through glycolysis plus citric acid cycle, under aerobic conditions, is as followsPathwayStep EnzymeSourceMethod of ATP formationNo of ATPs gained perglucose (new calculation)No of ATPs As per old calculationGlycolysis1 Hexokinase_ Minus 1Minus1Do3 Phosphofructokinase- Minus 1Minus1Do5 Glyceraldehyde-3-p DHNADHRespiratory chain2.5x2 =53x2=6Do6 1,3-BPG kinaseATPSubstrate level1x2 =21x2=2Do9 Pyruvate kinaseATPSubstrate level1 x 2 =21x2=2Pyruvate to Acetyl CoAPyruvateDehydrogenaseNADHRespiratory chain2.5 x 2 =53x2=6TCA cycle3 Isocitrate DHNADHRespiratory chain2.5 x 2 =53x2=6Do4 Alpha keto glutarate DHNADHRespiratory chain2.5 x 2 =53x2=6Do5 Succinate thiokinaseGTPSubstrate level1x2 =21x2=2Do6 Succicinate DHFADH2Respiratory chain1.5 x 2 =32x2= 4Do8 Malate DHNADHRespiratory chain2.5 x 2 =53x2= 6Net generation in glycolytic pathway9 minus 2=7 10 minus 2 = 8Generation in pyruvate dehydrogenase reaction=5= 6Generation in citric acid cycle=20= 24Net generation of ATP from one glucose mole=32= 38",1,10,24,8,30,Biochemistry,Kerbs Cycle,78e49654-ae4e-40c7-8e3c-b8e542870ac9,single,1
Receptors for thyroid hormones are present:,Ans. C. Inside the cellsThyroid hormones come under the category of Group I hormones. They bind to intracellular receptors to form receptor- hormone complexes (the intracellular messengers) through which their biochemical functions are mediated.,3,On the cell membrane,Across the cell membrane,Inside the cells,In association with G-proteins,Biochemistry,Membrane Structure & Function,d2ece993-dcb1-4c72-86c4-f61128121843,single,3
"Creatinine, NO & urea are synthesized from which amino acid?","1. Creatinine - Three amino acid -glycine, arginine and methionine-are required for creatine formation FORMATION OF CREATININE 2. NO is synthesized from arginine by enzyme NOS (Nitric Oxide Synthase). FORMATION OF NO 3. Urea is formed from arginine by enzyme arginase UREA CYCLE",1,Arginine,Citrulline,Aspaate,Glycine,Biochemistry,NEET 2019,e58d1bb6-60ce-4eba-936a-2c0f88a97c52,single,1
Unwinding of DNA during replication is done by-,"Ans. is 'b' i.e., HelicaseProteins involved in replicationProteinFunctionHelicaseCauses unwinding of DNA using ATPSSB (Single strand binding protein)Keeps two strands seprate, prevents renneiling of two strandsTopisomerase I and IIThey have both nuclease (strand cutting) and ligase activity, hence they relieve torsinal strain that results from helicase induced unwindingDN A pnmaseInitiates synthesis of RNA primerDNA polymeraseDeoxyribonucleotide polymerizationDNA Jigase/nick sealingSeals the single stranded nick between nascent chaind and okazaki fragments",2,Ligase,Helicase,Polymerase,Prinase,Biochemistry,DNA Replication ,de8d272b-9c6a-4dff-a282-d328d70373ab,single,2
DNA replication occurs in which phase of cell cycle -,"Ans. is 'a' i.e., S phase o Repeat from previous sessions.",1,S phase,Gl,G2,M,Biochemistry,DNA Replication ,0a981934-a748-462c-abff-ac2424dcaec5,single,1
"During replication of DNA, which one of the following enzyme polymerizes the Okazaki fragments?","DNA POLYMERASE I DNA POLYMERASE II DNA POLYMERASE III Removes RNA primers from leading strand Gap in lagging strand is filled Proof reading and repair Synthesize both leading and lagging strand, Lagging strand is a strand which have Okazaki fragments. DNA Dependent DNA polymerase RNA POLYMERASE I Not involved in replication Involved in transcription.",3,DNA polymerase I,DNA polymerase II,DNA polymerase III,RNA polymerase I,Biochemistry,Replication,8aedf6ac-8e63-432e-8e73-e271ac9ba2f6,single,3
"In Gaucher's diseases, there is deficiency of -","Ans. is 'a' i.e., Glucocerebrosidase o Gaucher's disease is due to deficiency of (3-glucosidase (glucocerebrosidase).o This question is repeat front AH MS 97.DiseaseEnzyme deficiencyLipid accumulatedTay-sach diseaseHexosaminidase AGM, gangliosideSandoff diseaseHexosaminidase BGM,gangliosideNiemann-Pick diseaseSphi ngomyel inaseSphingomyelineFarber's diseaseCeram idaseAcyl-sphingosine (ceramide)Fabry's diseasea-galactosidaseGlobotri sy IceramideKrabbe's diseaseb-galactosidase(Galactosylceramidase)GalactosvlceramideGaucher's diseaseb-gl ucosidase (gl ucoccrebrosi dase)Glueosy IceramideMetachromatic leukodystrophyArylsulfatase A3-Suffoga!actosy!ceramide",1,Glucocerebrosidase,Glucokinase,Sphingomyelinase,G-6PD,Biochemistry,"Phospholipids, Glycolipids and their disorders",c5123274-8411-4b6f-89c1-a6f6fe337069,single,1
CoA requires -,"Ans. is 'a' i.e., Pantothenic acido Pantothenic acid consists of pantoic acid and b-alanine.o It is a building block of coenzyme-AQ and acyl-carrier protein (ACP : phosphopantotheine group in fatty acid synthase).o It acts as pantetheineQ functional unit of these two coenzvmes, which (pantetheine) is formed by combination of pantothenate with cysteine5 and provides thiol (-SH) prosthetic group of CoA and ACPQ.o CoA takes part in citric acid cycle, fatty acid oxidation, acetylation5 and cholesterol synthesis.o ACP takes part in fatty' acid synthesis.",1,Pantothenic group,Biotin,Folic acid,Cabalamine,Biochemistry,Mechanisms of Enzyme Action,0d3fe88d-125f-4d93-ba09-3f733e59854c,single,1
